id,name,symbol,slug,cmcRank,marketPairCount,circulatingSupply,selfReportedCirculatingSupply,totalSupply,ath,atl,high24h,low24h,isActive,lastUpdated,dateAdded,scrape_date
74,Dogecoin,DOGE,dogecoin,11,464,132670764299.89409,0.0,132670764299.89409,0.7375666,8.5474399384111e-05,0.14928681921612105,0.14006058194627383,1,2022-04-15T16:49:00.000Z,2013-12-15T00:00:00.000Z,2022-04-16
6636,Polkadot,DOT,polkadot-new,12,330,987579314.957085,904869778.0,1103303471.382273,55.00497580824179,2.6928957061,18.346189836238366,17.529968607548604,1,2022-04-15T16:49:00.000Z,2020-08-19T00:00:00.000Z,2022-04-16
4687,Binance USD,BUSD,binance-usd,13,3495,17457287422.919254,0.0,17457287422.919254,1.10651177623,0.886123687014,1.0018579615159404,0.9981354638667873,1,2022-04-15T16:49:00.000Z,2019-09-20T00:00:00.000Z,2022-04-16
7129,TerraUSD,UST,terrausd,14,445,17169190553.844982,0.0,17169190553.844982,1.04679,0.79285628,1.0023177688428058,1.0003450987074383,1,2022-04-15T16:49:00.000Z,2020-09-21T00:00:00.000Z,2022-04-16
5994,Shiba Inu,SHIB,shiba-inu,15,335,549063278876301.94,0.0,589735030408322.8,8.8450814267188e-05,8.164606e-11,2.6190353739497e-05,2.5507183758651e-05,1,2022-04-15T16:49:00.000Z,2020-08-01T00:00:00.000Z,2022-04-16
3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,16,401,277756.74569686,0.0,277756.74569686,162188.25543653758,3330.11634888,40483.017902861575,39734.89153346179,1,2022-04-15T16:49:00.000Z,2019-01-30T00:00:00.000Z,2022-04-16
3890,Polygon,MATIC,polygon,17,370,7808492080.62,0.0,10000000000.0,2.9232349164289433,0.00301154729812,1.397935823079357,1.3563435025012995,1,2022-04-15T16:49:00.000Z,2019-04-28T00:00:00.000Z,2022-04-16
6535,NEAR Protocol,NEAR,near-protocol,18,126,673038514.0,0.0,1000000000.0,20.41834471901754,0.52596364,16.545444232207686,15.69851384885299,1,2022-04-15T16:49:00.000Z,2020-08-11T00:00:00.000Z,2022-04-16
3635,Cronos,CRO,cronos,19,131,25263013692.0,0.0,30263013692.0,0.9698063798210235,0.0114866815226,0.4150155763852559,0.40478772381979206,1,2022-04-15T16:49:00.000Z,2018-12-14T00:00:00.000Z,2022-04-16
4943,Dai,DAI,multi-collateral-dai,20,906,9115915407.871614,0.0,9115915407.871614,3.668397883943107,0.945504934022,1.0004481733850978,0.9989930085470943,1,2022-04-15T16:49:00.000Z,2019-11-22T00:00:00.000Z,2022-04-16
2,Litecoin,LTC,litecoin,21,764,70075143.77791464,0.0,84000000.0,412.96014112,1.1137399673461914,112.49354919123931,106.39035517109191,1,2022-04-15T16:50:00.000Z,2013-04-28T00:00:00.000Z,2022-04-16
3794,Cosmos,ATOM,cosmos,22,273,286370297.0,0.0,0.0,44.6955257850945,1.13096252523,24.357180122338384,23.855858522391845,1,2022-04-15T16:49:00.000Z,2019-03-14T00:00:00.000Z,2022-04-16
7083,Uniswap,UNI,uniswap,23,354,689650074.451759,0.0,1000000000.0,44.9740635,0.418997551386,9.934214385522699,9.355938606245688,1,2022-04-15T16:49:00.000Z,2020-09-17T00:00:00.000Z,2022-04-16
1831,Bitcoin Cash,BCH,bitcoin-cash,24,587,19037337.5,0.0,19037337.5,4355.6201171875,75.0753135706,344.15761086666316,333.6993665125316,1,2022-04-15T16:49:00.000Z,2017-07-23T00:00:00.000Z,2022-04-16
1975,Chainlink,LINK,chainlink,25,628,467009549.5205637,0.0,1000000000.0,52.87608912,0.1262969970703125,14.009460943266246,13.449345136878689,1,2022-04-15T16:49:00.000Z,2017-09-20T00:00:00.000Z,2022-04-16
1958,TRON,TRX,tron,26,592,101653899979.25552,71659659264.0,101653898346.19061,0.3003630042076111,0.001091259997338057,0.061700294870890016,0.05958166275697021,1,2022-04-15T16:49:00.000Z,2017-09-13T00:00:00.000Z,2022-04-16
4195,FTX Token,FTT,ftx-token,27,117,137072627.51874372,0.0,332941963.5859715,85.0168524,0.831289604014,43.07637056272715,41.474036631499786,1,2022-04-15T16:49:00.000Z,2019-07-31T00:00:00.000Z,2022-04-16
3957,UNUS SED LEO,LEO,unus-sed-leo,28,19,953954130.0,0.0,985239504.0,8.042636070844173,0.803558175101,5.9326611551638795,5.728154307565528,1,2022-04-15T16:49:00.000Z,2019-05-21T00:00:00.000Z,2022-04-16
512,Stellar,XLM,stellar,29,419,24739490041.56303,0.0,50001787916.13164,0.9381440281867981,0.001227100030519068,0.21137613524080479,0.19216020646371884,1,2022-04-15T16:49:00.000Z,2014-08-05T00:00:00.000Z,2022-04-16
